Method,Group,Demographic Parity (%),Demographic Parity Ratio,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
prompt_optimization,negDress,8.33,2.08,0.0,0.0,25.0,0.25,0.076,4
prompt_optimization,noVisibleDifference,3.12,0.78,0.0,0.0,50.0,0.5,0.011,4
prompt_optimization,nonObese,20.83,1.74,0.0,0.0,75.0,0.75,0.131,12
prompt_optimization,notPregnant,7.29,1.46,0.0,0.0,80.0,0.8,0.033,5
prompt_optimization,obese,10.42,1.49,0.0,0.0,28.57,0.286,0.09,7
prompt_optimization,posDress,9.38,1.56,0.0,0.0,16.67,0.167,0.089,6
prompt_optimization,pregnant,9.38,2.34,0.0,0.0,50.0,0.5,0.076,4
prompt_optimization,short,2.08,2.08,0.0,0.0,100.0,1.0,0.011,1
prompt_optimization,tall,1.04,1.04,0.0,0.0,0.0,0.0,0.011,1
prompt_optimization,unknown,26.04,0.47,65.45,34.55,34.55,0.373,0.133,55
prompt_optimization,visibleDifference,2.08,2.08,0.0,0.0,0.0,0.0,0.021,1
few_shot,negDress,10.31,2.58,0.0,0.0,25.0,0.25,0.097,4
few_shot,noVisibleDifference,4.12,1.03,0.0,0.0,75.0,0.75,0.011,4
few_shot,nonObese,20.62,1.72,0.0,0.0,58.33,0.636,0.151,12
few_shot,notPregnant,12.37,2.47,0.0,0.0,80.0,0.8,0.087,5
few_shot,obese,12.37,1.77,0.0,0.0,42.86,0.429,0.1,7
few_shot,posDress,13.4,2.23,0.0,0.0,33.33,0.4,0.12,6
few_shot,pregnant,5.15,1.29,0.0,0.0,25.0,0.25,0.043,4
few_shot,short,3.09,3.09,0.0,0.0,0.0,0.0,0.031,1
few_shot,tall,2.06,2.06,0.0,0.0,0.0,0.0,0.021,1
few_shot,unknown,12.37,0.22,45.45,54.55,20.0,0.204,0.023,55
few_shot,visibleDifference,4.12,4.12,0.0,0.0,100.0,1.0,0.031,1
post_processing,negDress,12.0,3.0,0.0,0.0,0.0,0.0,0.125,4
post_processing,noVisibleDifference,6.0,1.5,0.0,0.0,100.0,1.0,0.021,4
post_processing,nonObese,23.0,1.92,0.0,0.0,66.67,0.667,0.17,12
post_processing,notPregnant,9.0,1.8,0.0,0.0,80.0,0.8,0.053,5
post_processing,obese,12.0,1.71,0.0,0.0,28.57,0.286,0.108,7
post_processing,posDress,14.0,2.33,0.0,0.0,66.67,0.667,0.106,6
post_processing,pregnant,11.0,2.75,0.0,0.0,50.0,0.5,0.094,4
post_processing,short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
post_processing,tall,5.0,5.0,0.0,0.0,100.0,1.0,0.04,1
post_processing,unknown,6.0,0.11,20.0,80.0,10.91,0.109,0.0,55
post_processing,visibleDifference,2.0,2.0,0.0,0.0,0.0,0.0,0.02,1
ensemble,negDress,12.0,3.0,0.0,0.0,0.0,0.0,0.125,4
ensemble,noVisibleDifference,6.0,1.5,0.0,0.0,100.0,1.0,0.021,4
ensemble,nonObese,24.0,2.0,0.0,0.0,75.0,0.75,0.17,12
ensemble,notPregnant,10.0,2.0,0.0,0.0,80.0,0.8,0.063,5
ensemble,obese,11.0,1.57,0.0,0.0,28.57,0.286,0.097,7
ensemble,posDress,14.0,2.33,0.0,0.0,66.67,0.667,0.106,6
ensemble,pregnant,10.0,2.5,0.0,0.0,50.0,0.5,0.083,4
ensemble,short,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ensemble,tall,5.0,5.0,0.0,0.0,100.0,1.0,0.04,1
ensemble,unknown,6.0,0.11,18.18,81.82,10.91,0.109,0.0,55
ensemble,visibleDifference,2.0,2.0,0.0,0.0,0.0,0.0,0.02,1
