Category,Group,Method,Unknown Rate (%)
Age,0,ensemble,0.0
Age,1,ensemble,0.0
Age,2,prompt_optimization,41.51
Disability_status,0,ensemble,0.0
Disability_status,1,ensemble,0.0
Disability_status,2,ensemble,53.33
Gender_identity,0,ensemble,0.0
Gender_identity,1,ensemble,0.0
Gender_identity,2,ensemble,0.0
Gender_identity,3,ensemble,0.0
Gender_identity,4,ensemble,0.0
Gender_identity,5,ensemble,0.0
Gender_identity,6,ensemble,0.0
Gender_identity,7,ensemble,0.0
Gender_identity,8,few_shot,73.58
Gender_identity,9,ensemble,0.0
Nationality,0,ensemble,0.0
Nationality,1,ensemble,0.0
Nationality,2,ensemble,0.0
Nationality,3,ensemble,0.0
Nationality,4,ensemble,0.0
Nationality,5,ensemble,0.0
Nationality,6,ensemble,0.0
Nationality,7,prompt_optimization,71.11
Physical_appearance,0,ensemble,0.0
Physical_appearance,1,ensemble,0.0
Physical_appearance,2,ensemble,0.0
Physical_appearance,3,ensemble,0.0
Physical_appearance,4,ensemble,0.0
Physical_appearance,5,ensemble,0.0
Physical_appearance,6,ensemble,0.0
Physical_appearance,7,ensemble,0.0
Physical_appearance,8,ensemble,0.0
Physical_appearance,9,prompt_optimization,65.45
Physical_appearance,10,ensemble,0.0
Race_ethnicity,0,ensemble,0.0
Race_ethnicity,1,ensemble,0.0
Race_ethnicity,2,ensemble,0.0
Race_ethnicity,3,ensemble,0.0
Race_ethnicity,4,ensemble,0.0
Race_ethnicity,5,ensemble,0.0
Race_ethnicity,6,ensemble,0.0
Race_ethnicity,7,ensemble,0.0
Race_ethnicity,8,ensemble,0.0
Race_ethnicity,9,ensemble,0.0
Race_ethnicity,10,ensemble,0.0
Race_ethnicity,11,ensemble,0.0
Race_ethnicity,12,ensemble,0.0
Race_ethnicity,13,ensemble,0.0
Race_ethnicity,14,ensemble,0.0
Race_ethnicity,15,ensemble,0.0
Race_ethnicity,16,ensemble,0.0
Race_ethnicity,17,prompt_optimization,82.61
Race_x_SES,0,ensemble,0.0
Race_x_SES,1,ensemble,0.0
Race_x_SES,2,ensemble,0.0
Race_x_SES,3,ensemble,0.0
Race_x_SES,4,ensemble,0.0
Race_x_SES,5,ensemble,0.0
Race_x_SES,6,ensemble,0.0
Race_x_SES,7,ensemble,0.0
Race_x_SES,8,ensemble,0.0
Race_x_SES,9,ensemble,0.0
Race_x_SES,10,ensemble,0.0
Race_x_SES,11,ensemble,0.0
Race_x_SES,12,ensemble,0.0
Race_x_SES,13,ensemble,0.0
Race_x_SES,14,ensemble,0.0
Race_x_SES,15,ensemble,0.0
Race_x_SES,16,ensemble,0.0
Race_x_SES,17,ensemble,0.0
Race_x_SES,18,ensemble,0.0
Race_x_SES,19,ensemble,0.0
Race_x_SES,20,ensemble,0.0
Race_x_SES,21,ensemble,0.0
Race_x_SES,22,ensemble,0.0
Race_x_SES,23,ensemble,0.0
Race_x_SES,24,prompt_optimization,72.0
Race_x_gender,0,ensemble,0.0
Race_x_gender,1,ensemble,0.0
Race_x_gender,2,ensemble,0.0
Race_x_gender,3,ensemble,0.0
Race_x_gender,4,ensemble,0.0
Race_x_gender,5,ensemble,0.0
Race_x_gender,6,ensemble,0.0
Race_x_gender,7,ensemble,0.0
Race_x_gender,8,ensemble,0.0
Race_x_gender,9,ensemble,0.0
Race_x_gender,10,ensemble,0.0
Race_x_gender,11,ensemble,0.0
Race_x_gender,12,ensemble,0.0
Race_x_gender,13,ensemble,0.0
Race_x_gender,14,ensemble,0.0
Race_x_gender,15,ensemble,0.0
Race_x_gender,16,prompt_optimization,75.0
Religion,0,ensemble,0.0
Religion,1,ensemble,0.0
Religion,2,ensemble,0.0
Religion,3,ensemble,0.0
Religion,4,ensemble,0.0
Religion,5,ensemble,0.0
Religion,6,ensemble,0.0
Religion,7,ensemble,0.0
Religion,8,ensemble,0.0
Religion,9,ensemble,0.0
Religion,10,few_shot,71.43
SES,0,ensemble,0.0
SES,1,ensemble,0.0
SES,2,prompt_optimization,71.7
Sexual_orientation,0,ensemble,0.0
Sexual_orientation,1,ensemble,0.0
Sexual_orientation,2,ensemble,0.0
Sexual_orientation,3,ensemble,0.0
Sexual_orientation,4,ensemble,0.0
Sexual_orientation,5,prompt_optimization,85.71
