Category,Group,Method,Unknown for Ambiguous (%),Bias for Ambiguous (%),Accuracy (%),TPR,FPR,Examples
Age,old,prompt_optimization,0.00,0.00,42.86,0.429,0.382,21
Age,old,few_shot,0.00,0.00,42.86,0.450,0.513,21
Age,old,post_processing,0.00,0.00,47.62,0.476,0.532,21
Age,old,ensemble,0.00,0.00,52.38,0.524,0.582,21
Age,nonOld,prompt_optimization,0.00,0.00,53.85,0.560,0.389,26
Age,nonOld,few_shot,0.00,0.00,61.54,0.615,0.389,26
Age,nonOld,post_processing,0.00,0.00,61.54,0.615,0.378,26
Age,nonOld,ensemble,0.00,0.00,46.15,0.462,0.351,26
Age,unknown,prompt_optimization,41.51,58.49,24.53,0.255,0.087,53
Age,unknown,few_shot,26.42,73.58,9.43,0.096,0.000,53
Age,unknown,post_processing,20.75,79.25,5.66,0.057,0.021,53
Age,unknown,ensemble,20.75,79.25,5.66,0.057,0.043,53
Disability_status,disabled,prompt_optimization,0.00,0.00,44.83,0.448,0.354,29
Disability_status,disabled,few_shot,0.00,0.00,58.62,0.586,0.423,29
Disability_status,disabled,post_processing,0.00,0.00,58.62,0.586,0.333,29
Disability_status,disabled,ensemble,0.00,0.00,58.62,0.586,0.333,29
Disability_status,nonDisabled,prompt_optimization,0.00,0.00,57.69,0.577,0.441,26
Disability_status,nonDisabled,few_shot,0.00,0.00,53.85,0.538,0.446,26
Disability_status,nonDisabled,post_processing,0.00,0.00,53.85,0.560,0.356,26
Disability_status,nonDisabled,ensemble,0.00,0.00,53.85,0.560,0.356,26
Disability_status,unknown,prompt_optimization,53.33,46.67,15.56,0.179,0.109,45
Disability_status,unknown,few_shot,37.78,62.22,6.67,0.067,0.055,45
Disability_status,unknown,post_processing,53.33,46.67,26.67,0.273,0.111,45
Disability_status,unknown,ensemble,53.33,46.67,26.67,0.273,0.111,45
Gender_identity,man,prompt_optimization,0.00,0.00,33.33,0.333,0.019,6
Gender_identity,man,few_shot,0.00,0.00,33.33,0.333,0.019,6
Gender_identity,man,post_processing,0.00,0.00,33.33,0.333,0.019,6
Gender_identity,man,ensemble,0.00,0.00,33.33,0.333,0.019,6
Gender_identity,woman,prompt_optimization,0.00,0.00,0.00,0.000,0.019,0
Gender_identity,woman,few_shot,0.00,0.00,0.00,0.000,0.018,0
Gender_identity,woman,post_processing,0.00,0.00,0.00,0.000,0.018,0
Gender_identity,woman,ensemble,0.00,0.00,0.00,0.000,0.018,0
Gender_identity,unknown,prompt_optimization,73.58,26.42,54.72,0.569,0.250,53
Gender_identity,unknown,few_shot,73.58,26.42,37.74,0.377,0.250,53
Gender_identity,unknown,post_processing,58.49,41.51,47.17,0.481,0.250,53
Gender_identity,unknown,ensemble,49.06,50.94,47.17,0.481,0.250,53
Nationality,unknown,prompt_optimization,71.11,28.89,57.78,0.650,0.000,45
Nationality,unknown,few_shot,68.89,31.11,22.22,0.222,0.000,45
Nationality,unknown,post_processing,35.56,64.44,17.78,0.182,0.000,45
Nationality,unknown,ensemble,35.56,64.44,20.00,0.200,0.000,45
Physical_appearance,unknown,prompt_optimization,65.45,34.55,34.55,0.373,0.000,55
Physical_appearance,unknown,few_shot,45.45,54.55,20.00,0.204,0.000,55
Physical_appearance,unknown,post_processing,20.00,80.00,10.91,0.109,0.000,55
Physical_appearance,unknown,ensemble,18.18,81.82,10.91,0.109,0.000,55
Race_ethnicity,unknown,prompt_optimization,82.61,17.39,50.00,0.535,0.000,46
Race_ethnicity,unknown,few_shot,67.39,32.61,34.78,0.348,0.000,46
Race_ethnicity,unknown,post_processing,41.30,58.70,23.91,0.239,0.000,46
Race_ethnicity,unknown,ensemble,43.48,56.52,28.26,0.283,0.000,46
Race_x_gender,unknown,prompt_optimization,75.00,25.00,58.93,0.635,0.000,56
Race_x_gender,unknown,few_shot,73.21,26.79,37.50,0.396,0.000,56
Race_x_gender,unknown,post_processing,32.14,67.86,23.21,0.232,0.000,56
Race_x_gender,unknown,ensemble,37.50,62.50,28.57,0.286,0.000,56
Race_x_SES,unknown,prompt_optimization,72.00,28.00,74.00,0.881,0.000,50
Race_x_SES,unknown,few_shot,52.00,48.00,42.00,0.618,0.000,50
Race_x_SES,unknown,post_processing,38.00,62.00,32.00,0.327,0.000,50
Race_x_SES,unknown,ensemble,42.00,58.00,38.00,0.388,0.000,50
Religion,unknown,prompt_optimization,65.31,34.69,30.61,0.341,0.000,49
Religion,unknown,few_shot,71.43,28.57,30.61,0.306,0.000,49
Religion,unknown,post_processing,48.98,51.02,26.53,0.277,0.000,49
Religion,unknown,ensemble,44.90,55.10,22.45,0.234,0.000,49
SES,unknown,prompt_optimization,71.70,28.30,35.85,0.358,0.000,53
SES,unknown,few_shot,66.04,33.96,24.53,0.245,0.000,53
SES,unknown,post_processing,33.96,66.04,15.09,0.154,0.000,53
SES,unknown,ensemble,35.85,64.15,18.87,0.192,0.000,53
Sexual_orientation,straight,prompt_optimization,0.00,0.00,50.00,0.500,0.051,6
Sexual_orientation,straight,few_shot,0.00,0.00,66.67,0.667,0.098,6
Sexual_orientation,straight,post_processing,0.00,0.00,66.67,0.667,0.100,6
Sexual_orientation,straight,ensemble,0.00,0.00,66.67,0.667,0.100,6
Sexual_orientation,unknown,prompt_optimization,85.71,14.29,57.14,0.615,0.167,42
Sexual_orientation,unknown,few_shot,73.81,26.19,42.86,0.439,0.000,42
Sexual_orientation,unknown,post_processing,42.86,57.14,19.05,0.200,0.000,42
Sexual_orientation,unknown,ensemble,42.86,57.14,21.43,0.225,0.000,42
