num_examples,acc,asr,method,model,mask_rate,task
19,89.47368421052632,10.526315789473683,TextBugger,pred-gemini-1.5-flash,0.1,sst2
19,89.47368421052632,10.526315789473683,TextBugger,pred-gemini-1.5-flash-8b,0.1,sst2
19,89.47368421052632,10.526315789473683,TextBugger,pred-gemini-1.5-flash,0.2,sst2
19,84.21052631578947,15.789473684210533,TextBugger,pred-gemini-1.5-flash-8b,0.2,sst2
19,73.68421052631578,26.315789473684216,TextBugger,pred-gemini-1.5-flash,0.3,sst2
19,78.94736842105263,21.052631578947366,TextBugger,pred-gemini-1.5-flash-8b,0.3,sst2
19,73.68421052631578,26.315789473684216,TextBugger,pred-gemini-1.5-flash,0.4,sst2
19,89.47368421052632,10.526315789473683,TextBugger,pred-gemini-1.5-flash-8b,0.4,sst2
19,68.42105263157895,31.57894736842105,TextBugger,pred-gemini-1.5-flash,0.5,sst2
19,63.1578947368421,36.8421052631579,TextBugger,pred-gemini-1.5-flash-8b,0.5,sst2
19,63.1578947368421,36.8421052631579,TextBugger,pred-gemini-1.5-flash,0.6,sst2
19,63.1578947368421,36.8421052631579,TextBugger,pred-gemini-1.5-flash-8b,0.6,sst2
19,57.89473684210527,42.10526315789473,TextBugger,pred-gemini-1.5-flash,0.7,sst2
19,63.1578947368421,36.8421052631579,TextBugger,pred-gemini-1.5-flash-8b,0.7,sst2
19,47.368421052631575,52.63157894736843,TextBugger,pred-gemini-1.5-flash,0.8,sst2
19,57.89473684210527,42.10526315789473,TextBugger,pred-gemini-1.5-flash-8b,0.8,sst2
19,52.63157894736842,47.36842105263158,TextBugger,pred-gemini-1.5-flash,0.9,sst2
19,47.368421052631575,52.63157894736843,TextBugger,pred-gemini-1.5-flash-8b,0.9,sst2
